Forecast_time,Temperature,Humidity,WindSpeed,WindDirection,Cloud,energy
2018-03-02 00:00:00,0.0,40.0,1.5,318.0,2.0,0
2018-03-02 01:00:00,-0.3333333333333333,41.666666666666664,1.6,314.6666666666667,2.0,0
2018-03-02 02:00:00,-0.6666666666666666,43.333333333333336,1.7,311.3333333333333,2.0,0
2018-03-02 03:00:00,-1.0,45.0,1.8,308.0,2.0,0
2018-03-02 04:00:00,-1.3333333333333333,45.0,1.7666666666666666,303.3333333333333,1.6666666666666667,0
2018-03-02 05:00:00,-1.6666666666666665,45.0,1.7333333333333334,298.6666666666667,1.3333333333333335,0
2018-03-02 06:00:00,-2.0,45.0,1.7,294.0,1.0,0
2018-03-02 07:00:00,-1.3333333333333335,41.666666666666664,1.7666666666666666,303.0,1.0,18
2018-03-02 08:00:00,-0.6666666666666667,38.333333333333336,1.8333333333333333,312.0,1.0,102
2018-03-02 09:00:00,0.0,35.0,1.9,321.0,1.0,218
2018-03-02 10:00:00,2.0,33.333333333333336,1.7333333333333332,322.0,1.0,264
2018-03-02 11:00:00,4.0,31.666666666666668,1.5666666666666667,323.0,1.0,278
2018-03-02 12:00:00,6.0,30.0,1.4,324.0,1.0,362
2018-03-02 13:00:00,7.0,30.0,1.2,229.33333333333331,1.0,352
2018-03-02 14:00:00,8.0,30.0,1.0,134.66666666666666,1.0,319
2018-03-02 15:00:00,9.0,30.0,0.8,40.0,1.0,263
2018-03-02 16:00:00,8.666666666666666,35.0,0.9,60.0,1.0,163
2018-03-02 17:00:00,8.333333333333334,40.0,1.0,80.0,1.0,30
2018-03-02 18:00:00,8.0,45.0,1.1,100.0,1.0,0
2018-03-02 19:00:00,7.333333333333333,50.0,1.3,168.66666666666669,1.0,0
2018-03-02 20:00:00,6.666666666666667,55.0,1.5,237.33333333333334,1.0,0
2018-03-02 21:00:00,6.0,60.0,1.7,306.0,1.0,0
2018-03-02 22:00:00,5.666666666666667,63.333333333333336,1.5,297.3333333333333,1.0,0
2018-03-02 23:00:00,5.333333333333333,66.66666666666667,1.3,288.6666666666667,1.0,0
2018-03-03 00:00:00,5.0,70.0,1.1,280.0,1.0,0
2018-03-03 01:00:00,4.666666666666667,71.66666666666667,1.1333333333333333,292.6666666666667,1.0,0
2018-03-03 02:00:00,4.333333333333333,73.33333333333333,1.1666666666666667,305.3333333333333,1.0,0
2018-03-03 03:00:00,4.0,75.0,1.2,318.0,1.0,0
2018-03-03 04:00:00,3.6666666666666665,75.0,1.3333333333333333,317.6666666666667,1.0,0
2018-03-03 05:00:00,3.3333333333333335,75.0,1.4666666666666668,317.3333333333333,1.0,0
2018-03-03 06:00:00,3.0,75.0,1.6,317.0,1.0,0
2018-03-03 07:00:00,4.0,68.33333333333333,1.4000000000000001,299.3333333333333,1.3333333333333333,14
2018-03-03 08:00:00,5.0,61.666666666666664,1.2,281.6666666666667,1.6666666666666665,75
2018-03-03 09:00:00,6.0,55.0,1.0,264.0,2.0,103
2018-03-03 10:00:00,8.333333333333334,55.0,1.4666666666666666,242.33333333333334,2.0,167
2018-03-03 11:00:00,10.666666666666668,55.0,1.9333333333333331,220.66666666666666,2.0,143
2018-03-03 12:00:00,13.0,55.0,2.4,199.0,2.0,168
2018-03-03 13:00:00,13.333333333333334,56.666666666666664,2.7666666666666666,196.0,2.3333333333333335,256
2018-03-03 14:00:00,13.666666666666666,58.333333333333336,3.1333333333333333,193.0,2.6666666666666665,311
2018-03-03 15:00:00,14.0,60.0,3.5,190.0,3.0,250
2018-03-03 16:00:00,13.333333333333334,63.333333333333336,3.3333333333333335,189.66666666666666,3.0,151
2018-03-03 17:00:00,12.666666666666666,66.66666666666667,3.1666666666666665,189.33333333333334,3.0,31
2018-03-03 18:00:00,12.0,70.0,3.0,189.0,3.0,0
2018-03-03 19:00:00,11.666666666666666,73.33333333333333,2.8333333333333335,199.33333333333334,3.0,0
2018-03-03 20:00:00,11.333333333333334,76.66666666666667,2.6666666666666665,209.66666666666666,3.0,0
2018-03-03 21:00:00,11.0,80.0,2.5,220.0,3.0,0
2018-03-03 22:00:00,10.666666666666666,81.66666666666667,2.033333333333333,235.0,3.0,0
2018-03-03 23:00:00,10.333333333333334,83.33333333333333,1.5666666666666669,250.0,3.0,0
2018-03-04 00:00:00,10.0,85.0,1.1,265.0,3.0,0
2018-03-04 01:00:00,9.666666666666666,85.0,1.0333333333333334,272.6666666666667,3.0,0
2018-03-04 02:00:00,9.333333333333334,85.0,0.9666666666666667,280.3333333333333,3.0,0
2018-03-04 03:00:00,9.0,85.0,0.9,288.0,3.0,0
2018-03-04 04:00:00,8.666666666666666,86.66666666666667,1.1333333333333333,299.3333333333333,3.0,0
2018-03-04 05:00:00,8.333333333333334,88.33333333333333,1.3666666666666667,310.6666666666667,3.0,0
2018-03-04 06:00:00,8.0,90.0,1.6,322.0,3.0,0
2018-03-04 07:00:00,9.0,86.66666666666667,1.4000000000000001,332.6666666666667,3.0,20
